lon,lat,cat
-8.6091775,41.1478657,artwork
-8.6075175,41.1449172,information
-8.6069546,41.1450653,information
-8.6073102,41.1454558,information
-8.6071172,41.1455204,artwork
-8.6081256,41.1448346,information
-8.6081063,41.1448373,information
-8.6079219,41.1437026,information
-8.6077636,41.1448184,hostel
-8.6072513,41.1447658,information
-8.6071069,41.1466983,hostel
-8.6069296,41.1469167,information
-8.6120086,41.1434103,information
-8.6119925,41.1434765,information
-8.6119878,41.1434913,information
-8.6119027,41.1434604,information
-8.6118929,41.1434755,information
-8.6115556,41.1433188,information
-8.6114404,41.1433384,guest_house
-8.6113046,41.1433232,information
-8.6090321,41.1433078,information
-8.6089461,41.142018,viewpoint
-8.6088024,41.1432621,hotel
-8.6085256,41.1432411,information
-8.6084933,41.1432357,information
-8.6083393,41.1428491,information
-8.6066515,41.1460768,information
-8.6067202,41.1470906,information
-8.6118483,41.1407124,artwork
-8.6118856,41.1407427,information
-8.6118599,41.1407436,information
-8.6119488,41.1408033,information
-8.6113903,41.1408268,information
-8.611477,41.1408318,information
-8.6114305,41.1408452,information
-8.6115656,41.1408475,guest_house
-8.6112238,41.1410172,information
-8.6110492,41.1429534,information
-8.6119837,41.1429828,information
-8.6115683,41.1430395,information
-8.6115546,41.1430584,information
-8.6110684,41.1429555,information
-8.6110429,41.1407056,information
-8.6116218,41.1428912,information
-8.6110433,41.1407067,information
-8.611626,41.1422024,information
-8.6104428,41.1496774,information
-8.6111891,41.150088,
-8.6111458,41.1501743,information
-8.6097562,41.1504253,apartment
-8.6098767,41.1407095,information
-8.6097298,41.1407202,information
-8.6096204,41.1409041,information
-8.6101411,41.1412464,information
-8.6092301,41.1418006,viewpoint
-8.6096808,41.1412294,viewpoint
-8.6067203,41.1444714,hotel
-8.6062047,41.1483265,information
-8.6062358,41.1483439,information
-8.6062418,41.1484225,information
-8.6080721,41.1430347,information
-8.6079787,41.1432501,information
-8.6076161,41.1433011,information
-8.6091189,41.150352,guest_house
-8.6048808,41.1478672,apartment
-8.6042551,41.1476324,museum
-8.606424,41.1479149,artwork
-8.6063843,41.1479362,guest_house
-8.6065394,41.1480214,information
-8.6066751,41.1483772,artwork
-8.6064105,41.1483961,information
-8.6056923,41.1498571,information
-8.6053917,41.1427944,guest_house
-8.6095269,41.1371803,viewpoint
-8.6093361,41.1396475,viewpoint
-8.6040617,41.1470066,hotel
-8.6029296,41.1444593,apartment
-8.6023346,41.1455283,information
-8.6021331,41.1454773,attraction
-8.6030348,41.1457531,artwork
-8.6030542,41.1459483,artwork
-8.6029082,41.1457199,artwork
-8.6062003,41.1489725,hostel
-8.6054356,41.1504182,hostel
-8.6054117,41.149751,information
-8.6050685,41.1504337,artwork
-8.6059184,41.1496673,information
-8.6058711,41.1498524,information
-8.6162512,41.13685,attraction
-8.6111698,41.1368758,apartment
-8.6150427,41.1368949,artwork
-8.6123813,41.1382649,attraction
-8.6088202,41.1364737,picnic_site
-8.6084722,41.1375301,artwork
-8.6090937,41.1381592,viewpoint
-8.6086165,41.1382825,viewpoint
-8.6005032,41.1468757,museum
-8.6039129,41.1496214,guest_house
-8.6021501,41.1397309,viewpoint
-8.601775,41.1492084,apartment
-8.5985401,41.1449118,museum
-8.5949719,41.1457617,artwork
-8.5957405,41.1457711,artwork
-8.5955079,41.1458315,artwork
-8.5982785,41.1458658,museum
-8.5965274,41.1470469,hostel
-8.5966969,41.1471827,guest_house
-8.6009096,41.1425561,viewpoint
-8.5955957,41.1413006,artwork
-8.595289,41.1415186,artwork
-8.6130316,41.1336662,hotel
-8.5978218,41.1482419,artwork
-8.5988522,41.1490403,artwork
-8.5988441,41.1494768,viewpoint
-8.5962321,41.1496156,guest_house
-8.5953175,41.1417574,artwork
-8.5952894,41.1421654,artwork
-8.5950155,41.1416605,artwork
-8.5934885,41.141807,viewpoint
-8.5904254,41.1445223,artwork
-8.5886946,41.1477342,gallery
-8.5897584,41.1470998,hostel
-8.5873773,41.14855,gallery
-8.5873615,41.1485832,gallery
-8.5866699,41.1466313,viewpoint
-8.586439,41.1494451,hostel
-8.5747613,41.1426442,hotel
-8.5716493,41.1370221,picnic_site
-8.569965,41.1335183,viewpoint
-8.6054467,41.1505108,information
-8.6055833,41.1506057,hostel
-8.6053858,41.1506499,hostel
-8.6003581,41.1507882,artwork
-8.6043419,41.1510134,hostel
-8.6061187,41.1514379,guest_house
-8.6086032,41.1510497,artwork
-8.6060078,41.1527196,artwork
-8.6058337,41.1528843,artwork
-8.6053013,41.1536597,hostel
-8.6056185,41.1600984,hotel
-8.6027185,41.1550122,artwork
-8.6024781,41.1552049,hostel
-8.6019982,41.1558317,museum
-8.6079132,41.1524329,hostel
-8.6088602,41.1551765,guest_house
-8.6104069,41.1507044,information
-8.5996021,41.1565219,guest_house
-8.6012254,41.1570347,viewpoint
-8.6020939,41.1570919,hotel
-8.6044966,41.157204,guest_house
-8.6045798,41.1572179,guest_house
-8.5998966,41.1591652,apartment
-8.6010271,41.159696,hostel
-8.6103871,41.1527495,guest_house
-8.6102907,41.1530639,hotel
-8.6088566,41.1574293,guest_house
-8.6086015,41.1589799,guest_house
-8.6071372,41.1610464,hostel
-8.6067738,41.1583337,hotel
-8.6134827,41.153632,guest_house
-8.6130273,41.1539427,artwork
-8.6126821,41.1539864,artwork
-8.6130308,41.1542163,artwork
-8.6125108,41.1550066,information
-8.6126288,41.1548765,artwork
-8.6162743,41.1548136,hotel
-8.6178964,41.151554,hostel
-8.6133003,41.1567895,artwork
-8.6125802,41.1570009,information
-8.6115657,41.1572453,artwork
-8.613094,41.1580619,viewpoint
-8.613086,41.158588,viewpoint
-8.6211591,41.1514226,apartment
-8.6211465,41.1510018,apartment
-8.6208873,41.1531397,artwork
-8.6201451,41.1524962,artwork
-8.6111162,41.1641607,guest_house
-8.6057919,41.1739924,information
-8.6119599,41.1620213,museum
-8.6201801,41.1563438,artwork
-8.6212144,41.1564656,guest_house
-8.6143361,41.1780075,hotel
-8.6275753,41.1555404,hotel
-8.6208183,41.1597588,hostel
-8.629911,41.1526587,hotel
-8.6304481,41.1547501,hotel
-8.6305659,41.154176,hotel
-8.6305345,41.1545138,hotel
-8.6424588,41.1538717,artwork
-8.6038204,41.1803892,hotel
-8.6009039,41.1828307,information
-8.6249723,41.1595866,museum
-8.6030379,41.1849402,hotel
-8.6291392,41.1708752,information
-8.6290263,41.1717492,information
-8.6262882,41.1670667,artwork
-8.6407662,41.1600607,hotel
-8.640278,41.161889,museum
-8.6362005,41.1592233,hotel
-8.638765,41.1593253,hotel
-8.649901,41.1544149,hotel
-8.6094998,41.1934068,artwork
-8.6362236,41.1716105,apartment
-8.630914,41.1880621,museum
-8.645448,41.1751341,museum
-8.6319617,41.1909136,artwork
-8.6192968,41.1487306,gallery
-8.6218496,41.1486259,viewpoint
-8.6210079,41.1496703,artwork
-8.6205369,41.1497094,artwork
-8.6181753,41.1467916,museum
-8.6179977,41.1470374,information
-8.6191486,41.1454728,viewpoint
-8.6182326,41.1481278,information
-8.6199827,41.1446497,viewpoint
-8.6191834,41.1448375,picnic_site
-8.6189303,41.1457497,viewpoint
-8.6186055,41.1444784,viewpoint
-8.6185022,41.1443683,artwork
-8.6184981,41.1500165,artwork
-8.6171014,41.150158,attraction
-8.6177845,41.1454185,museum
-8.6166193,41.1468069,apartment
-8.6158066,41.1469068,information
-8.6166193,41.1469169,guest_house
-8.6163839,41.147312,information
-8.6162109,41.1473244,information
-8.6163608,41.1473345,attraction
-8.6152545,41.1474122,artwork
-8.6151551,41.1477234,guest_house
-8.619817,41.137468,attraction
-8.6240916,41.1401936,viewpoint
-8.6198123,41.1430047,information
-8.6203243,41.1431911,artwork
-8.6214003,41.1432515,information
-8.6205618,41.1433875,theme_park
-8.6208881,41.1433892,museum
